LEVEL ID,GROUP ID,SPAWN ID,POS X,POS Y ,POS Z,TYPE
0,0,0,39,10,221,0
0,0,1,5.3,10,221,0
0,0,2,-32.8,10,221,0
0,0,3,10.8,10,320,0
0,0,4,-5.6,10,320,0
0,0,5,-39,10,320,0
0,0,6,5.3,10,320,0
0,0,7,32.8,10,320,0
1,0,0,-47,48,108,1
1,0,1,47,68,159,1
1,0,2,-18,12,180,0
1,0,3,18,12,180,0
1,1,0,-188.6,42.6,495,1
1,1,1,-188.6,42.6,436,1
1,1,2,-188.6,42.6,408,1
1,1,3,-188.6,42.6,350,1
1,1,4,188.6,42.6,495,1
1,1,5,188.6,42.6,436,1
1,1,6,188.6,42.6,408,1
1,1,7,188.6,42.6,350,1
1,2,0,128.6,42.6,700,1
1,2,1,128.6,42.6,636,1
1,2,2,128.6,42.6,608,1
1,2,3,128.6,42.6,650,1
1,2,4,-128.6,42.6,700,1
1,2,5,-128.6,42.6,636,1
1,2,6,-128.6,42.6,608,1
1,2,7,-128.6,42.6,650,1
1,2,8,-50.6,42.6,650,0
1,2,9,-50.6,42.6,650,0
1,2,10,30.6,42.6,650,0
1,2,11,50.6,42.6,650,0
2,0,0,0,15,1,10
